class id;labels
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
0;ADONIS
1;AFRICAN GIANT SWALLOWTAIL
1;AFRICAN GIANT SWALLOWTAIL
1;AFRICAN GIANT SWALLOWTAIL
1;AFRICAN GIANT SWALLOWTAIL
1;AFRICAN GIANT SWALLOWTAIL
1;AFRICAN GIANT SWALLOWTAIL
1;AFRICAN GIANT SWALLOWTAIL
1;AFRICAN GIANT SWALLOWTAIL
